AttractionId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress
1312,3,Museum,Cultural Heritage Center - N'Djamena,"Main Street, N'Djamena, Chad"
1313,3,Market,Farmers' Market - N'Djamena,"Main Street, N'Djamena, Chad"
1314,5,Park,National Park - Kigali Province,"Main Street, Kigali Province, Rwanda"
1315,5,Beach,Crystal Bay - Kigali Province,"Main Street, Kigali Province, Rwanda"
1316,5,Museum,Science Museum - Kigali Province,"Main Street, Kigali Province, Rwanda"
1317,5,Temple,Cathedral - Kigali Province,"Main Street, Kigali Province, Rwanda"
1318,4,Beach,Golden Sand Beach - Kigali,"Main Street, Kigali, Rwanda"
1319,4,Temple,Grand Mosque - Kigali,"Main Street, Kigali, Rwanda"
1320,4,Market,Local Bazaar - Kigali,"Main Street, Kigali, Rwanda"
1321,4,Museum,Cultural Heritage Center - Kigali,"Main Street, Kigali, Rwanda"
1322,6,Beach,Sunset Cove - Addis Ababa,"Main Street, Addis Ababa, Ethiopia"
1323,6,Park,National Park - Addis Ababa,"Main Street, Addis Ababa, Ethiopia"
1324,6,Market,Farmers' Market - Addis Ababa,"Main Street, Addis Ababa, Ethiopia"
1325,6,Park,Eco Park - Addis Ababa,"Main Street, Addis Ababa, Ethiopia"
1326,7,Temple,Ancient Temple - Karen,"Main Street, Karen, Kenya"
1327,7,Park,National Park - Karen,"Main Street, Karen, Kenya"
1328,7,Temple,Cathedral - Karen,"Main Street, Karen, Kenya"
1329,7,Beach,Golden Sand Beach - Karen,"Main Street, Karen, Kenya"
1330,8,Temple,Cathedral - Kenya,"Main Street, Kenya, Kenya"
1331,8,Museum,Cultural Heritage Center - Kenya,"Main Street, Kenya, Kenya"
1332,8,Beach,Crystal Bay - Kenya,"Main Street, Kenya, Kenya"
1333,8,Temple,Grand Mosque - Kenya,"Main Street, Kenya, Kenya"
1334,12,Temple,Sacred Shrine - Shimoni,"Main Street, Shimoni, Kenya"
1335,12,Temple,Ancient Temple - Shimoni,"Main Street, Shimoni, Kenya"
1336,12,Temple,Cathedral - Shimoni,"Main Street, Shimoni, Kenya"
1337,12,Museum,History Museum - Shimoni,"Main Street, Shimoni, Kenya"
1338,18,Market,Local Bazaar - Mauritius,"Main Street, Mauritius, Mauritius"
1339,18,Park,National Park - Mauritius,"Main Street, Mauritius, Mauritius"
1340,18,Market,Night Market - Mauritius,"Main Street, Mauritius, Mauritius"
1341,18,Beach,Paradise Beach - Mauritius,"Main Street, Mauritius, Mauritius"
1342,13,Market,Farmers' Market - Bel Ombre,"Main Street, Bel Ombre, Mauritius"
1343,13,Museum,History Museum - Bel Ombre,"Main Street, Bel Ombre, Mauritius"
1344,13,Market,Flea Market - Bel Ombre,"Main Street, Bel Ombre, Mauritius"
1345,13,Temple,Grand Mosque - Bel Ombre,"Main Street, Bel Ombre, Mauritius"
1346,22,Museum,History Museum - Quatre Bornes,"Main Street, Quatre Bornes, Mauritius"
1347,22,Temple,Sacred Shrine - Quatre Bornes,"Main Street, Quatre Bornes, Mauritius"
1348,22,Beach,Golden Sand Beach - Quatre Bornes,"Main Street, Quatre Bornes, Mauritius"
1349,22,Beach,Sunset Cove - Quatre Bornes,"Main Street, Quatre Bornes, Mauritius"
1350,24,Market,Farmers' Market - Cerf Island,"Main Street, Cerf Island, Seychelles"
1351,24,Market,Local Bazaar - Cerf Island,"Main Street, Cerf Island, Seychelles"
1352,24,Temple,Cathedral - Cerf Island,"Main Street, Cerf Island, Seychelles"
1353,24,Temple,Cathedral - Cerf Island,"Main Street, Cerf Island, Seychelles"
1354,25,Market,Night Market - Mahe Island,"Main Street, Mahe Island, Seychelles"
1355,25,Temple,Cathedral - Mahe Island,"Main Street, Mahe Island, Seychelles"
1356,25,Museum,History Museum - Mahe Island,"Main Street, Mahe Island, Seychelles"
1357,25,Temple,Sacred Shrine - Mahe Island,"Main Street, Mahe Island, Seychelles"
1358,26,Park,Botanical Garden - Victoria,"Main Street, Victoria, Seychelles"
1359,26,Beach,Sunset Cove - Victoria,"Main Street, Victoria, Seychelles"
1360,26,Museum,Cultural Heritage Center - Victoria,"Main Street, Victoria, Seychelles"
1361,26,Museum,Science Museum - Victoria,"Main Street, Victoria, Seychelles"
1362,28,Market,Night Market - Port Sudan,"Main Street, Port Sudan, Sudan"
1363,28,Market,Farmers' Market - Port Sudan,"Main Street, Port Sudan, Sudan"
1364,28,Museum,Science Museum - Port Sudan,"Main Street, Port Sudan, Sudan"
1365,28,Beach,Sunset Cove - Port Sudan,"Main Street, Port Sudan, Sudan"
1366,30,Market,Farmers' Market - Sudan,"Main Street, Sudan, Sudan"
1367,30,Park,Botanical Garden - Sudan,"Main Street, Sudan, Sudan"
1368,30,Museum,History Museum - Sudan,"Main Street, Sudan, Sudan"
1369,30,Beach,Golden Sand Beach - Sudan,"Main Street, Sudan, Sudan"
1370,27,Beach,Golden Sand Beach - Khartoum,"Main Street, Khartoum, Sudan"
1371,27,Park,Botanical Garden - Khartoum,"Main Street, Khartoum, Sudan"
1372,27,Beach,Paradise Beach - Khartoum,"Main Street, Khartoum, Sudan"
1373,27,Park,Eco Park - Khartoum,"Main Street, Khartoum, Sudan"
1374,31,Market,Night Market - Arusha,"Main Street, Arusha, Tanzania"
1375,31,Market,Flea Market - Arusha,"Main Street, Arusha, Tanzania"
1376,31,Market,Farmers' Market - Arusha,"Main Street, Arusha, Tanzania"
1377,31,Market,Night Market - Arusha,"Main Street, Arusha, Tanzania"
1378,32,Beach,Golden Sand Beach - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania"
1379,32,Temple,Cathedral - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania"
1380,32,Park,National Park - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania"
1381,32,Beach,Crystal Bay - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania"
1382,36,Park,Wildlife Reserve - Zanzibar Island,"Main Street, Zanzibar Island, Tanzania"
1383,36,Market,Flea Market - Zanzibar Island,"Main Street, Zanzibar Island, Tanzania"
1384,36,Beach,Crystal Bay - Zanzibar Island,"Main Street, Zanzibar Island, Tanzania"
1385,36,Beach,Golden Sand Beach - Zanzibar Island,"Main Street, Zanzibar Island, Tanzania"
1386,37,Temple,Sacred Shrine - Kampala,"Main Street, Kampala, Uganda"
1387,37,Temple,Grand Mosque - Kampala,"Main Street, Kampala, Uganda"
1388,37,Park,Botanical Garden - Kampala,"Main Street, Kampala, Uganda"
1389,37,Beach,Crystal Bay - Kampala,"Main Street, Kampala, Uganda"
1390,39,Beach,Sunset Cove - Lusaka,"Main Street, Lusaka, Zambia"
1391,39,Museum,Cultural Heritage Center - Lusaka,"Main Street, Lusaka, Zambia"
1392,39,Museum,Art Gallery - Lusaka,"Main Street, Lusaka, Zambia"
1393,39,Temple,Ancient Temple - Lusaka,"Main Street, Lusaka, Zambia"
1394,42,Museum,History Museum - Victoria Falls,"Main Street, Victoria Falls, Zambia"
1395,42,Beach,Golden Sand Beach - Victoria Falls,"Main Street, Victoria Falls, Zambia"
1396,42,Museum,Cultural Heritage Center - Victoria Falls,"Main Street, Victoria Falls, Zambia"
1397,42,Park,National Park - Victoria Falls,"Main Street, Victoria Falls, Zambia"
1398,40,Market,Flea Market - Solwezi,"Main Street, Solwezi, Zambia"
1399,40,Temple,Grand Mosque - Solwezi,"Main Street, Solwezi, Zambia"
1400,40,Museum,Science Museum - Solwezi,"Main Street, Solwezi, Zambia"
1401,40,Park,Eco Park - Solwezi,"Main Street, Solwezi, Zambia"
1402,43,Market,Local Bazaar - Harare,"Main Street, Harare, Zimbabwe"
1403,43,Beach,Golden Sand Beach - Harare,"Main Street, Harare, Zimbabwe"
1404,43,Museum,Science Museum - Harare,"Main Street, Harare, Zimbabwe"
1405,43,Museum,History Museum - Harare,"Main Street, Harare, Zimbabwe"
1406,45,Beach,Paradise Beach - Algiers,"Main Street, Algiers, Algeria"
1407,45,Beach,Crystal Bay - Algiers,"Main Street, Algiers, Algeria"
1408,45,Market,Flea Market - Algiers,"Main Street, Algiers, Algeria"
1409,45,Temple,Ancient Temple - Algiers,"Main Street, Algiers, Algeria"
1410,47,Park,Eco Park - Oran,"Main Street, Oran, Algeria"
1411,47,Beach,Golden Sand Beach - Oran,"Main Street, Oran, Algeria"
1412,47,Museum,Cultural Heritage Center - Oran,"Main Street, Oran, Algeria"
1413,47,Market,Farmers' Market - Oran,"Main Street, Oran, Algeria"
1414,44,Museum,Art Gallery - Alger,"Main Street, Alger, Algeria"
1415,44,Market,Night Market - Alger,"Main Street, Alger, Algeria"
1416,44,Market,Night Market - Alger,"Main Street, Alger, Algeria"
1417,44,Park,Botanical Garden - Alger,"Main Street, Alger, Algeria"
1418,48,Temple,Cathedral - Ad Duqqi,"Main Street, Ad Duqqi, Egypt"
1419,48,Temple,Sacred Shrine - Ad Duqqi,"Main Street, Ad Duqqi, Egypt"
1420,48,Beach,Paradise Beach - Ad Duqqi,"Main Street, Ad Duqqi, Egypt"
1421,48,Beach,Golden Sand Beach - Ad Duqqi,"Main Street, Ad Duqqi, Egypt"
1422,49,Temple,Ancient Temple - Al Rehab,"Main Street, Al Rehab, Egypt"
1423,49,Market,Flea Market - Al Rehab,"Main Street, Al Rehab, Egypt"
1424,49,Park,Botanical Garden - Al Rehab,"Main Street, Al Rehab, Egypt"
1425,49,Park,Botanical Garden - Al Rehab,"Main Street, Al Rehab, Egypt"
1426,56,Market,Flea Market - El Alamein,"Main Street, El Alamein, Egypt"
1427,56,Market,Local Bazaar - El Alamein,"Main Street, El Alamein, Egypt"
1428,56,Temple,Grand Mosque - El Alamein,"Main Street, El Alamein, Egypt"
1429,56,Museum,History Museum - El Alamein,"Main Street, El Alamein, Egypt"
1430,73,Temple,Cathedral - Oujda,"Main Street, Oujda, Morocco"
1431,73,Museum,Cultural Heritage Center - Oujda,"Main Street, Oujda, Morocco"
1432,73,Temple,Grand Mosque - Oujda,"Main Street, Oujda, Morocco"
1433,73,Beach,Crystal Bay - Oujda,"Main Street, Oujda, Morocco"
1434,67,Market,Farmers' Market - Chefchaouen,"Main Street, Chefchaouen, Morocco"
1435,67,Museum,Art Gallery - Chefchaouen,"Main Street, Chefchaouen, Morocco"
1436,67,Museum,Art Gallery - Chefchaouen,"Main Street, Chefchaouen, Morocco"
1437,67,Museum,Art Gallery - Chefchaouen,"Main Street, Chefchaouen, Morocco"
1438,71,Temple,Sacred Shrine - Merzouga,"Main Street, Merzouga, Morocco"
1439,71,Temple,Sacred Shrine - Merzouga,"Main Street, Merzouga, Morocco"
1440,71,Park,Wildlife Reserve - Merzouga,"Main Street, Merzouga, Morocco"
1441,71,Museum,Art Gallery - Merzouga,"Main Street, Merzouga, Morocco"
1442,75,Museum,Science Museum - Bizerte,"Main Street, Bizerte, Tunisia"
1443,75,Beach,Crystal Bay - Bizerte,"Main Street, Bizerte, Tunisia"
1444,75,Museum,Art Gallery - Bizerte,"Main Street, Bizerte, Tunisia"
1445,75,Park,National Park - Bizerte,"Main Street, Bizerte, Tunisia"
1446,76,Museum,Art Gallery - Carthage,"Main Street, Carthage, Tunisia"
1447,76,Market,Night Market - Carthage,"Main Street, Carthage, Tunisia"
1448,76,Market,Local Bazaar - Carthage,"Main Street, Carthage, Tunisia"
1449,76,Temple,Ancient Temple - Carthage,"Main Street, Carthage, Tunisia"
1450,80,Beach,Crystal Bay - Tunis,"Main Street, Tunis, Tunisia"
1451,80,Museum,History Museum - Tunis,"Main Street, Tunis, Tunisia"
1452,80,Beach,Sunset Cove - Tunis,"Main Street, Tunis, Tunisia"
1453,80,Temple,Sacred Shrine - Tunis,"Main Street, Tunis, Tunisia"
1454,82,Temple,Grand Mosque - Luanda,"Main Street, Luanda, Angola"
1455,82,Temple,Sacred Shrine - Luanda,"Main Street, Luanda, Angola"
1456,82,Beach,Sunset Cove - Luanda,"Main Street, Luanda, Angola"
1457,82,Temple,Grand Mosque - Luanda,"Main Street, Luanda, Angola"
1458,84,Temple,Cathedral - Gaborone,"Main Street, Gaborone, Botswana"
1459,84,Beach,Sunset Cove - Gaborone,"Main Street, Gaborone, Botswana"
1460,84,Temple,Ancient Temple - Gaborone,"Main Street, Gaborone, Botswana"
1461,84,Museum,Art Gallery - Gaborone,"Main Street, Gaborone, Botswana"
1462,83,Museum,Science Museum - Botswana,"Main Street, Botswana, Botswana"
1463,83,Museum,Cultural Heritage Center - Botswana,"Main Street, Botswana, Botswana"
1464,83,Park,Wildlife Reserve - Botswana,"Main Street, Botswana, Botswana"
1465,83,Beach,Sunset Cove - Botswana,"Main Street, Botswana, Botswana"
1466,85,Temple,Cathedral - Chintheche,"Main Street, Chintheche, Malawi"
1467,85,Beach,Crystal Bay - Chintheche,"Main Street, Chintheche, Malawi"
1468,85,Park,Wildlife Reserve - Chintheche,"Main Street, Chintheche, Malawi"
1469,85,Museum,Cultural Heritage Center - Chintheche,"Main Street, Chintheche, Malawi"
1470,87,Museum,Cultural Heritage Center - Mozambique,"Main Street, Mozambique, Mozambique"
1471,87,Market,Flea Market - Mozambique,"Main Street, Mozambique, Mozambique"
1472,87,Beach,Golden Sand Beach - Mozambique,"Main Street, Mozambique, Mozambique"
1473,87,Market,Flea Market - Mozambique,"Main Street, Mozambique, Mozambique"
1474,89,Market,Flea Market - Tofinho,"Main Street, Tofinho, Mozambique"
1475,89,Temple,Ancient Temple - Tofinho,"Main Street, Tofinho, Mozambique"
1476,89,Museum,Cultural Heritage Center - Tofinho,"Main Street, Tofinho, Mozambique"
1477,89,Park,National Park - Tofinho,"Main Street, Tofinho, Mozambique"
1478,86,Beach,Paradise Beach - Maputo,"Main Street, Maputo, Mozambique"
1479,86,Beach,Paradise Beach - Maputo,"Main Street, Maputo, Mozambique"
1480,86,Park,National Park - Maputo,"Main Street, Maputo, Mozambique"
1481,86,Market,Night Market - Maputo,"Main Street, Maputo, Mozambique"
1482,90,Museum,Cultural Heritage Center - Swakopmund,"Main Street, Swakopmund, Namibia"
1483,90,Market,Farmers' Market - Swakopmund,"Main Street, Swakopmund, Namibia"
1484,90,Beach,Sunset Cove - Swakopmund,"Main Street, Swakopmund, Namibia"
1485,90,Market,Local Bazaar - Swakopmund,"Main Street, Swakopmund, Namibia"
1486,91,Museum,Science Museum - Walvis Bay,"Main Street, Walvis Bay, Namibia"
1487,91,Park,Wildlife Reserve - Walvis Bay,"Main Street, Walvis Bay, Namibia"
1488,91,Museum,Art Gallery - Walvis Bay,"Main Street, Walvis Bay, Namibia"
1489,91,Museum,Art Gallery - Walvis Bay,"Main Street, Walvis Bay, Namibia"
1490,92,Market,Flea Market - Windhoek,"Main Street, Windhoek, Namibia"
1491,92,Beach,Crystal Bay - Windhoek,"Main Street, Windhoek, Namibia"
1492,92,Museum,Science Museum - Windhoek,"Main Street, Windhoek, Namibia"
1493,92,Park,Botanical Garden - Windhoek,"Main Street, Windhoek, Namibia"
1494,137,Market,Night Market - Johannesburg South,"Main Street, Johannesburg South, South Africa"
1495,137,Park,Wildlife Reserve - Johannesburg South,"Main Street, Johannesburg South, South Africa"
1496,137,Beach,Crystal Bay - Johannesburg South,"Main Street, Johannesburg South, South Africa"
1497,137,Museum,Science Museum - Johannesburg South,"Main Street, Johannesburg South, South Africa"
1498,140,Museum,Art Gallery - Kemptonpark,"Main Street, Kemptonpark, South Africa"
1499,140,Park,Wildlife Reserve - Kemptonpark,"Main Street, Kemptonpark, South Africa"
1500,140,Museum,Cultural Heritage Center - Kemptonpark,"Main Street, Kemptonpark, South Africa"
1501,140,Temple,Cathedral - Kemptonpark,"Main Street, Kemptonpark, South Africa"
1502,97,Park,National Park - Benoni,"Main Street, Benoni, South Africa"
1503,97,Park,Eco Park - Benoni,"Main Street, Benoni, South Africa"
1504,97,Park,Eco Park - Benoni,"Main Street, Benoni, South Africa"
1505,97,Park,Eco Park - Benoni,"Main Street, Benoni, South Africa"
1506,213,Temple,Grand Mosque - Ouagadougou,"Main Street, Ouagadougou, Burkina Faso"
1507,213,Museum,Art Gallery - Ouagadougou,"Main Street, Ouagadougou, Burkina Faso"
1508,213,Park,National Park - Ouagadougou,"Main Street, Ouagadougou, Burkina Faso"
1509,213,Market,Night Market - Ouagadougou,"Main Street, Ouagadougou, Burkina Faso"
1510,214,Market,Farmers' Market - Santa Maria,"Main Street, Santa Maria, Cape Verde"
1511,214,Market,Local Bazaar - Santa Maria,"Main Street, Santa Maria, Cape Verde"
1512,214,Beach,Golden Sand Beach - Santa Maria,"Main Street, Santa Maria, Cape Verde"
1513,214,Temple,Grand Mosque - Santa Maria,"Main Street, Santa Maria, Cape Verde"
1514,215,Temple,Grand Mosque - Abidjan,"Main Street, Abidjan, Côte d'Ivoire"
1515,215,Beach,Golden Sand Beach - Abidjan,"Main Street, Abidjan, Côte d'Ivoire"
1516,215,Beach,Golden Sand Beach - Abidjan,"Main Street, Abidjan, Côte d'Ivoire"
1517,215,Park,Wildlife Reserve - Abidjan,"Main Street, Abidjan, Côte d'Ivoire"
1518,217,Market,Night Market - Kumasi,"Main Street, Kumasi, Ghana"
1519,217,Temple,Grand Mosque - Kumasi,"Main Street, Kumasi, Ghana"
1520,217,Market,Local Bazaar - Kumasi,"Main Street, Kumasi, Ghana"
1521,217,Beach,Crystal Bay - Kumasi,"Main Street, Kumasi, Ghana"
1522,216,Park,National Park - Accra,"Main Street, Accra, Ghana"
1523,216,Beach,Crystal Bay - Accra,"Main Street, Accra, Ghana"
1524,216,Market,Farmers' Market - Accra,"Main Street, Accra, Ghana"
1525,216,Museum,Cultural Heritage Center - Accra,"Main Street, Accra, Ghana"
1526,219,Park,Eco Park - Ilorin,"Main Street, Ilorin, NIGERIA"
1527,219,Market,Flea Market - Ilorin,"Main Street, Ilorin, NIGERIA"
1528,219,Museum,History Museum - Ilorin,"Main Street, Ilorin, NIGERIA"
1529,219,Market,Farmers' Market - Ilorin,"Main Street, Ilorin, NIGERIA"
1530,222,Temple,Cathedral - Port Harcourt,"Main Street, Port Harcourt, NIGERIA"
1531,222,Museum,Science Museum - Port Harcourt,"Main Street, Port Harcourt, NIGERIA"
1532,222,Market,Flea Market - Port Harcourt,"Main Street, Port Harcourt, NIGERIA"
1533,222,Museum,Art Gallery - Port Harcourt,"Main Street, Port Harcourt, NIGERIA"
1534,220,Market,Night Market - Lagos,"Main Street, Lagos, NIGERIA"
1535,220,Park,Eco Park - Lagos,"Main Street, Lagos, NIGERIA"
1536,220,Beach,Crystal Bay - Lagos,"Main Street, Lagos, NIGERIA"
1537,220,Market,Night Market - Lagos,"Main Street, Lagos, NIGERIA"
1538,224,Park,National Park - Saly,"Main Street, Saly, Senegal"
1539,224,Market,Local Bazaar - Saly,"Main Street, Saly, Senegal"
1540,224,Temple,Ancient Temple - Saly,"Main Street, Saly, Senegal"
1541,224,Park,Wildlife Reserve - Saly,"Main Street, Saly, Senegal"
1542,223,Beach,Paradise Beach - Dakar,"Main Street, Dakar, Senegal"
1543,223,Market,Local Bazaar - Dakar,"Main Street, Dakar, Senegal"
1544,223,Temple,Cathedral - Dakar,"Main Street, Dakar, Senegal"
1545,223,Temple,Sacred Shrine - Dakar,"Main Street, Dakar, Senegal"
1546,225,Market,Local Bazaar - Antigua and Barbuda,"Main Street, Antigua and Barbuda, Antigua and Barbuda"
1547,225,Park,Botanical Garden - Antigua and Barbuda,"Main Street, Antigua and Barbuda, Antigua and Barbuda"
1548,225,Market,Local Bazaar - Antigua and Barbuda,"Main Street, Antigua and Barbuda, Antigua and Barbuda"
1549,225,Park,Wildlife Reserve - Antigua and Barbuda,"Main Street, Antigua and Barbuda, Antigua and Barbuda"
1550,227,Market,Night Market - New Providence Island,"Main Street, New Providence Island, Bahamas"
1551,227,Temple,Grand Mosque - New Providence Island,"Main Street, New Providence Island, Bahamas"
1552,227,Market,Night Market - New Providence Island,"Main Street, New Providence Island, Bahamas"
1553,227,Beach,Crystal Bay - New Providence Island,"Main Street, New Providence Island, Bahamas"
1554,226,Museum,Cultural Heritage Center - Nassau,"Main Street, Nassau, Bahamas"
1555,226,Temple,Cathedral - Nassau,"Main Street, Nassau, Bahamas"
1556,226,Park,Eco Park - Nassau,"Main Street, Nassau, Bahamas"
1557,226,Temple,Grand Mosque - Nassau,"Main Street, Nassau, Bahamas"
1558,229,Park,Wildlife Reserve - Saint Philip Parish,"Main Street, Saint Philip Parish, Barbados"
1559,229,Market,Local Bazaar - Saint Philip Parish,"Main Street, Saint Philip Parish, Barbados"
1560,229,Museum,Science Museum - Saint Philip Parish,"Main Street, Saint Philip Parish, Barbados"
1561,229,Beach,Golden Sand Beach - Saint Philip Parish,"Main Street, Saint Philip Parish, Barbados"
1562,228,Temple,Cathedral - Bridgetown,"Main Street, Bridgetown, Barbados"
1563,228,Park,Eco Park - Bridgetown,"Main Street, Bridgetown, Barbados"
1564,228,Park,National Park - Bridgetown,"Main Street, Bridgetown, Barbados"
1565,228,Museum,Art Gallery - Bridgetown,"Main Street, Bridgetown, Barbados"
1566,230,Museum,History Museum - Cayman Island,"Main Street, Cayman Island, Cayman Island"
1567,230,Park,Botanical Garden - Cayman Island,"Main Street, Cayman Island, Cayman Island"
1568,230,Museum,Science Museum - Cayman Island,"Main Street, Cayman Island, Cayman Island"
1569,230,Museum,Art Gallery - Cayman Island,"Main Street, Cayman Island, Cayman Island"
1570,231,Museum,Science Museum - Havana,"Main Street, Havana, Cuba"
1571,231,Market,Farmers' Market - Havana,"Main Street, Havana, Cuba"
1572,231,Market,Local Bazaar - Havana,"Main Street, Havana, Cuba"
1573,231,Museum,Art Gallery - Havana,"Main Street, Havana, Cuba"
1574,232,Park,Eco Park - CuraÃ§ao,"Main Street, CuraÃ§ao, Curacao"
1575,232,Market,Local Bazaar - CuraÃ§ao,"Main Street, CuraÃ§ao, Curacao"
1576,232,Temple,Cathedral - CuraÃ§ao,"Main Street, CuraÃ§ao, Curacao"
1577,232,Museum,Cultural Heritage Center - CuraÃ§ao,"Main Street, CuraÃ§ao, Curacao"
1578,233,Temple,Cathedral - Curacao,"Main Street, Curacao, Curacao"
1579,233,Museum,Science Museum - Curacao,"Main Street, Curacao, Curacao"
1580,233,Museum,History Museum - Curacao,"Main Street, Curacao, Curacao"
1581,233,Temple,Cathedral - Curacao,"Main Street, Curacao, Curacao"
1582,234,Temple,Sacred Shrine - Willemstad,"Main Street, Willemstad, Curacao"
1583,234,Market,Flea Market - Willemstad,"Main Street, Willemstad, Curacao"
1584,234,Park,Botanical Garden - Willemstad,"Main Street, Willemstad, Curacao"
1585,234,Market,Local Bazaar - Willemstad,"Main Street, Willemstad, Curacao"
1586,235,Museum,Science Museum - Dominican Republic,"Main Street, Dominican Republic, Dominican Republic"
1587,235,Temple,Ancient Temple - Dominican Republic,"Main Street, Dominican Republic, Dominican Republic"
1588,235,Temple,Grand Mosque - Dominican Republic,"Main Street, Dominican Republic, Dominican Republic"
1589,235,Park,National Park - Dominican Republic,"Main Street, Dominican Republic, Dominican Republic"
1590,236,Market,Flea Market - Punta Cana,"Main Street, Punta Cana, Dominican Republic"
1591,236,Beach,Paradise Beach - Punta Cana,"Main Street, Punta Cana, Dominican Republic"
1592,236,Beach,Golden Sand Beach - Punta Cana,"Main Street, Punta Cana, Dominican Republic"
1593,236,Market,Flea Market - Punta Cana,"Main Street, Punta Cana, Dominican Republic"
1594,237,Temple,Cathedral - Santo Domingo,"Main Street, Santo Domingo, Dominican Republic"
1595,237,Park,Botanical Garden - Santo Domingo,"Main Street, Santo Domingo, Dominican Republic"
1596,237,Temple,Ancient Temple - Santo Domingo,"Main Street, Santo Domingo, Dominican Republic"
1597,237,Museum,Art Gallery - Santo Domingo,"Main Street, Santo Domingo, Dominican Republic"
1598,238,Market,Farmers' Market - George Town,"Main Street, George Town, Grand Cayman"
1599,238,Park,National Park - George Town,"Main Street, George Town, Grand Cayman"
1600,238,Market,Flea Market - George Town,"Main Street, George Town, Grand Cayman"
1601,238,Market,Farmers' Market - George Town,"Main Street, George Town, Grand Cayman"
1602,239,Market,Farmers' Market - Grand Cayman,"Main Street, Grand Cayman, Grand Cayman"
1603,239,Beach,Sunset Cove - Grand Cayman,"Main Street, Grand Cayman, Grand Cayman"
1604,239,Beach,Paradise Beach - Grand Cayman,"Main Street, Grand Cayman, Grand Cayman"
1605,239,Museum,History Museum - Grand Cayman,"Main Street, Grand Cayman, Grand Cayman"
1606,240,Beach,Crystal Bay - Seven Mile Beach,"Main Street, Seven Mile Beach, Grand Cayman"
